Burst_Name,Burst_PNG,Workflow,BurstID,Simple,Extended,Other,Too_Noisy,Verify,Symmetrical,FastRiseSlowDecay,UnderlyingEmission,RapidlyVarying,Primary_Z_Score,Primary_P_Value,Primary_Confidence_Level,Secondary_Z_Score,Secondary_P_Value,Secondary_Confidence_Level,Cluster,Color
GRB090916,GRB090916_362818.png,25637,95373399,4,12,0,2,Extended,1,8,8,0,2.8517591273601504,0.0650150396862243,0.9349849603137756,-0.1901172751573433,0.1855957084834667,0.8144042915165333,2,green
GRB090926B,GRB090926B_370791.png,25637,95373400,14,12,1,4,Simple,2,23,1,0,2.003743819294743,0.1191214693277684,0.8808785306722315,1.3625457971204251,0.138821560384629,0.861178439615371,4,gray
GRB090927,GRB090927_370846.png,25637,95373401,12,0,0,0,Simple,5,7,1,0,3.0,0.0576688856224374,0.9423311143775626,-1.0,0.3910022189557705,0.6089977810442295,1,blue
GRB090929B,GRB090929B_371050.png,25637,95373403,5,13,11,4,Extended,14,3,12,0,2.1467441948909216,0.121079352266739,0.878920647733261,1.2428519023052704,0.1505235848446764,0.8494764151553236,8,cyan
GRB091018,GRB091018_373172.png,25637,95373405,12,1,0,0,Simple,6,5,0,0,2.9902518020086637,0.0581189488320708,0.9418810511679292,-0.7689218919450849,0.3477243781102923,0.6522756218897077,1,blue
GRB091020,GRB091020_373458.png,25637,95373406,12,12,7,1,Simple/Extended,9,19,15,0,1.5301841113520118,0.0751880440943293,0.9248119559056708,1.5301841113520118,0.2234622953687022,0.7765377046312978,4,gray
GRB091024,GRB091024_373674.png,25637,95373408,1,11,9,3,Extended,4,15,9,0,2.100420126042015,0.126514593081336,0.8734854069186639,1.260252075625209,0.126514593081336,0.8734854069186639,8,cyan
GRB091026,GRB091026_373871.png,25637,95373409,21,11,2,0,Simple,9,24,2,0,2.601721174259851,0.0802563913884655,0.9197436086115344,0.5203442348519702,0.1750125368119712,0.8249874631880287,4,gray
GRB091029,GRB091029_374210.png,25637,95373411,1,3,14,3,Other,13,2,8,0,2.9615676684642214,0.0594690676972453,0.9405309323027546,-0.7615459718907998,0.245882227318964,0.754117772681036,3,orange
GRB091102,GRB091102_374598.png,25637,95373412,7,6,13,1,Other,11,7,9,0,2.538365412834048,0.0848006898797946,0.9151993101202054,0.1015346165133619,0.1016560567650708,0.8983439432349292,5,purple
GRB091104,GRB091104_374875.png,25637,95373413,1,1,3,16,Too Noisy,2,1,3,0,2.974372194624121,0.0588615707173894,0.9411384292826106,-0.6225430174794672,0.3244511538930608,0.6755488461069392,0,red
GRB091109A,GRB091109A_375246.png,25637,95373415,4,7,6,5,Extended,5,10,9,0,2.32379000772445,0.102728078858399,0.8972719211416009,0.7745966692414834,0.102728078858399,0.8972719211416009,8,cyan
GRB091109B,GRB091109B_375409.png,25637,95373418,11,0,0,0,Simple,8,0,0,0,3.0,0.0576688856224374,0.9423311143775626,-1.0,0.3910022189557705,0.6089977810442295,1,blue
GRB091112,GRB091112_375659.png,25637,95373420,17,3,7,3,Simple,20,1,7,0,2.875269652140314,0.0637749516208923,0.9362250483791076,-0.1513299816915954,0.266456825562799,0.733543174437201,7,pink
GRB091127,GRB091127_377179.png,25637,95373421,14,7,11,1,Simple,15,9,14,0,2.046297899219047,0.0817716686650482,0.9182283313349516,0.9786642126699788,0.1332371771021567,0.8667628228978432,6,brown
GRB091130B,GRB091130B_377487.png,25637,95373423,9,12,5,1,Extended,10,11,13,0,2.1933784650417927,0.0956788749046304,0.9043211250953695,0.9400193421607684,0.115887327113598,0.8841126728864019,4,gray
GRB091208A,GRB091208A_378554.png,25637,95373424,1,12,0,0,Extended,4,9,1,0,2.9902518020086637,0.0581189488320708,0.9418810511679292,-0.7689218919450849,0.3477243781102923,0.6522756218897077,2,green
